,feedback,sentiment,label
0,"It can give to us good insights, but no guarantee of what will happen in the future",pos,Remark
1,Is it supposed to be a reference?,neutral,Concern
2,Very good point,pos,Compliment
3,"Why not just one table/ They both contain, essentially, the same information Moreover, it would look better if the tables were properly labelled",neutral,Suggestion
4,Larger profits or rates of return?,neutral,Concern
5,"When you say variance between two objects, the reader will be inclined to think of co-variance, which is different from what you intended to say",neutral,Remark
6,"Not clear: if there's only one stock (asset), then it will be the only influence on the rate of return",neg,Remark
7,"In this context, what does it mean ""% chance of producing""?",neg,Concern
8,Not a clear explanation of what the Sharpe ratio represents,neg,Concern
9,"This section could have elaborated further into the issue of how optimal portfolios are calculated, the efficient frontier and some caveats of the theory",neutral,Suggestion
10,Direct quotations require double quotation marks,neutral,Remark
11,Can stock prices be predicted?,neutral,Concern
12,Good point,pos,Compliment
13,"Broadly speaking, the volatility is not observed The expected rate of return is neither, however it doesn't matter as you mentioned in the previous page",neg,Concern
14,"It's not only about when, but else whether the parties of the contract are obliged to deliver the underlying security",neutral,Remark
15,The question itself could had been left out,neutral,Remark
16,"Executive summary can be shortened - it feels more like an introduction of the report rather than a summary Definitions (eg, options) do not need to be provided at this stage",neg,Suggestion
17,"The issue is not volatility, but rather extreme high (or low) rates of return",neutral,Remark
18,"Although informative, this discussion is too descriptive It would be better to present your own view and explanation in terms of why these are important concepts",pos,Suggestion
19,"All these tables could had been relegated to the appendix Displaying the covariance matrix provides information similar to the correlation matrix and, therefore, there's no need to include both in the body of the report The bordered covariance matrix: which use will the reader make of it?",neutral,Suggestion
20,"Well done, well constructed graphs",pos,Compliment
21,The first task is to find the optimal portfolio,neutral,Suggestion
22,"By definition, one would have a hard time trying to predict shocks",neg,Remark
23,There's some misunderstanding here: taxes are not necessarily raised when GDP is increasing,neutral,Concern
24,How that happens?,neg,Concern
25,Correlation with which variable?,neutral,Concern
26,"That's correct, good point",pos,Compliment
27,"This is the crux of the argument and the main insight in the derivation of the formula, well done",pos,Compliment
28,"In practice, though, this is not possible",neutral,Remark
29,"The executive summary could be shorter, however you explain quite well each of the sections of the report",neutral,Compliment
30,"Better simply say ""the higher the standard deviation""",neutral,Suggestion
31,"Good discussion about arithmetic mean vs geometric mean, and the effect of extreme value on each of them",neg,Compliment
32,"This section is a bit too short, you could have elaborated more on optimal risky portfolios, efficient frontier, Sharpe ratio, and so forth",neutral,Suggestion
33,"Yes, if only business cycles were not so hard to predict",neg,Remark
34,Good analysis,pos,Compliment
35,Why basis risk is important? This could had been explained,neutral,Concern
36,Which ones? This is an important point to be discussed,neutral,Concern
37,Not clear: what exactly is the level of systematic risk between the portfolios?,neutral,Concern
38,Very good summary: concise and to the point,pos,Compliment
39,"In a way, yes However, an important aspect is not only in terms of this trade-off but rather how to compare different assets, for which we mainly discuss measures that combine risk and return For example, would you invest in the S&P  or the ASX ? Which criterion your decision would be based on?",neutral,Remark
40,Good point,pos,Compliment
41,Something missing here Don't forget to use quotation marks whenever relying on direct quotations,neg,Suggestion
42,Why specially from a long-term perspective? Does it mean that diversification is not important if the investment horizon is short?,neg,Concern
43,"A very interesting story, indeed: google Long-Term Capital Management The other manager of the fund was Robert Merton, a professor at Harvard",pos,Compliment
44,"Absolutely, I trust this is precisely what a (good) financial analyst would tell you",pos,Compliment
45,"Very nice discussion, well done: the first point could be described as a mean-reverting property of the business cycle",pos,Compliment
46,I would disagree - why a passive strategy would focus on cyclical industries? One counterexample would be of a passive fund that tracks the S&P  (why?),neutral,Remark
47,Nice example!,pos,Compliment
48,"All the below is correct, however it's just too descriptive The option price is increasing in the volatility of the underlying asset, but why that's the case?",neutral,Remark
49,The discussion here is a bit too short,neutral,Suggestion
50,"Yes, this is an important point",pos,Compliment
