,feedback,polarity,subjectivity,sentiment
0,"It can give to us good insights, but no guarantee of what will happen in the future",0.35,0.36250000000000004,pos
1,Is it supposed to be a reference?,0.0,0.0,neutral
2,Very good point,0.9099999999999999,0.7800000000000001,pos
3,"Why not just one table/ They both contain, essentially, the same information Moreover, it would look better if the tables were properly labelled",0.125,0.25625000000000003,neutral
4,Larger profits or rates of return?,0.0,0.5,neutral
5,"When you say variance between two objects, the reader will be inclined to think of co-variance, which is different from what you intended to say",0.0,0.6,neutral
6,"Not clear: if there's only one stock (asset), then it will be the only influence on the rate of return",-0.01666666666666667,0.7944444444444444,neg
7,"In this context, what does it mean ""% chance of producing""?",-0.3125,0.6875,neg
8,Not a clear explanation of what the Sharpe ratio represents,-0.05000000000000001,0.3833333333333333,neg
9,"This section could have elaborated further into the issue of how optimal portfolios are calculated, the efficient frontier and some caveats of the theory",0.0,0.5,neutral
10,Direct quotations require double quotation marks,0.05,0.2,neutral
11,Can stock prices be predicted?,0.0,0.0,neutral
12,Good point,0.7,0.6000000000000001,pos
13,"Broadly speaking, the volatility is not observed The expected rate of return is neither, however it doesn't matter as you mentioned in the previous page",-0.06805555555555555,0.29305555555555557,neg
14,"It's not only about when, but else whether the parties of the contract are obliged to deliver the underlying security",0.0,1.0,neutral
15,The question itself could had been left out,0.0,0.0,neutral
16,"Executive summary can be shortened - it feels more like an introduction of the report rather than a summary Definitions (eg, options) do not need to be provided at this stage",0.5,0.5,pos
17,"The issue is not volatility, but rather extreme high (or low) rates of return",0.011666666666666667,0.6133333333333334,neutral
18,"Although informative, this discussion is too descriptive It would be better to present your own view and explanation in terms of why these are important concepts",0.375,0.625,pos
19,"All these tables could had been relegated to the appendix Displaying the covariance matrix provides information similar to the correlation matrix and, therefore, there's no need to include both in the body of the report The bordered covariance matrix: which use will the reader make of it?",0.0,0.4,neutral
20,"Well done, well constructed graphs",0.0,0.0,neutral
21,The first task is to find the optimal portfolio,0.25,0.3333333333333333,neutral
22,"By definition, one would have a hard time trying to predict shocks",-0.2916666666666667,0.5416666666666666,neg
23,There's some misunderstanding here: taxes are not necessarily raised when GDP is increasing,0.0,1.0,neutral
24,How that happens?,0.0,0.0,neutral
25,Correlation with which variable?,0.0,0.0,neutral
26,"That's correct, good point",0.7,0.6000000000000001,pos
27,"This is the crux of the argument and the main insight in the derivation of the formula, well done",0.16666666666666666,0.3333333333333333,neutral
28,"In practice, though, this is not possible",0.0,1.0,neutral
29,"The executive summary could be shorter, however you explain quite well each of the sections of the report",0.0,0.0,neutral
30,"Better simply say ""the higher the standard deviation""",0.1875,0.3392857142857143,neutral
31,"Good discussion about arithmetic mean vs geometric mean, and the effect of extreme value on each of them",-0.012500000000000011,0.74375,neg
32,"This section is a bit too short, you could have elaborated more on optimal risky portfolios, efficient frontier, Sharpe ratio, and so forth",0.25,0.4,neutral
33,"Yes, if only business cycles were not so hard to predict",-0.14583333333333334,0.7708333333333333,neg
34,Good analysis,0.7,0.6000000000000001,pos
35,Why basis risk is important? This could had been explained,0.4,1.0,pos
36,Which ones? This is an important point to be discussed,0.4,1.0,pos
37,Not clear: what exactly is the level of systematic risk between the portfolios?,0.09999999999999999,0.31666666666666665,neutral
38,Very good summary: concise and to the point,0.505,0.6900000000000001,pos
39,"In a way, yes However, an important aspect is not only in terms of this trade-off but rather how to compare different assets, for which we mainly discuss measures that combine risk and return For example, would you invest in the S&P  or the ASX ? Which criterion your decision would be based on?",0.14166666666666666,0.7333333333333334,neutral
40,Good point,0.7,0.6000000000000001,pos
41,Something missing here Don't forget to use quotation marks whenever relying on direct quotations,-0.05,0.225,neg
42,Why specially from a long-term perspective? Does it mean that diversification is not important if the investment horizon is short?,-0.038839285714285715,0.6397321428571427,neg
43,"A very interesting story, indeed: google Long-Term Capital Management The other manager of the fund was Robert Merton, a professor at Harvard",0.2625,0.5125,pos
44,"Absolutely, I trust this is precisely what a (good) financial analyst would tell you",0.325,0.5750000000000001,pos
45,"Very nice discussion, well done: the first point could be described as a mean-reverting property of the business cycle",0.515,0.6666666666666666,pos
46,I would disagree - why a passive strategy would focus on cyclical industries? One counterexample would be of a passive fund that tracks the S&P  (why?),0.0,0.0,neutral
47,Nice example!,0.75,1.0,pos
48,"All the below is correct, however it's just too descriptive The option price is increasing in the volatility of the underlying asset, but why that's the case?",0.0,0.0,neutral
49,The discussion here is a bit too short,0.0,0.3,neutral
50,"Yes, this is an important point",0.4,1.0,pos
51,"Well posed discussion that covered the main topics related to the characteristics of the assets, good job",0.28888888888888886,0.4444444444444445,pos
52,"The discussion above was very good, though",0.45499999999999996,0.44000000000000006,pos
53,"Not very clear, requires a better explanation",0.23076923076923078,0.3974358974358974,neutral
54,"In fact, increasing interest rates to reduce inflation",0.0,0.0,neutral
55,Very good point,0.9099999999999999,0.7800000000000001,pos
56,"Yes, correct In fact, the Black-Scholes option pricing model is also used as a tool to estimate the volatility of the underlying stock (implied volatility) which is called premium",0.0,0.0,neutral
57,Almost there: would the product be the commodity or the contract?,0.0,0.0,neutral
58,"Correct, well done",0.0,0.0,neutral
59,Good use of references,0.7,0.6000000000000001,pos
60,A conclusion could had been added before the references,0.0,0.0,neutral
61,"That's to say, an efficient portfolio The optimal portfolio is the one that maximizes the Sharpe ratio",0.0,0.0,neutral
62,No need to provide definitions in the executive summary,0.0,0.0,neutral
63,Good introduction: short but informative nonetheless,0.35,0.45000000000000007,pos
64,"This is not correct If there 's zero volatility, then it's a constant and the calculation of an average of any sort is not required Perhaps what you mean to say is that AM is useful provided the volatility of the rate of return of the asset is not too high",-0.000500000000000006,0.39216666666666666,neg
65,Being mindful that the future does not (and most likely will not) repeat the past,0.0625,0.46875,neutral
66,Why that's the case? This point is not clear in your argument,-0.05000000000000001,0.3833333333333333,neg
67,This is not a credible source,-0.2,0.7,neg
68,This is very standard material that you could have sourced from elsewhere,0.0,0.0,neutral
69,Good summary of the Sharpe ratio,0.7,0.6000000000000001,pos
70,"These are very important concepts, it was a good choice to explain them all",0.61,0.8,pos
71,"Correct - this discussion fits in well since you set the stage for it in your previous paragraph, well done",-0.16666666666666666,0.16666666666666666,neg
72,This is a good point: are there any studies that back up your claim?,0.35,0.30000000000000004,pos
73,It would be advisable to avoid short paragraphs like this,0.0,0.3,neutral
74,"Yes, that's an important point In fact, at times the Black-Scholes model is used to estimate the volatility of the underlying stock (implied volatility)",0.4,1.0,pos
